amount,time,location,device,is_fraud
2999.4482501846633,21,6,3,0
7605.96087974728,12,0,2,0
5857.291564782184,15,5,3,0
4791.274581155308,12,8,2,0
1252.36903033728,3,2,4,0
1252.17619008794,3,3,3,0
469.3784792847547,10,7,0,0
6930.078285470607,22,4,4,0
4810.914518886954,13,4,3,0
5666.040259479384,2,0,4,1
169.57303189494056,18,5,2,0
7759.429268035145,21,1,4,0
6660.378913199372,0,0,0,1
1702.651189872818,4,5,3,0
1458.6906128207695,16,4,2,0
1471.3190562782033,0,4,4,1
2437.416732461504,18,8,1,0
4200.427670899741,18,9,2,0
3458.4004240437157,3,9,2,0
2333.376975883345,18,2,0,0
4896.763893305424,5,0,0,0
1120.2534159130744,14,7,4,0
2340.696465039069,3,4,1,0
2934.062937133065,23,4,2,0
3651.279523815202,0,7,4,0
6282.481811337144,23,7,1,1
1601.3918883560862,16,1,4,0
4116.304335116824,10,2,2,0
4741.35447805203,16,9,4,1
376.3710496963818,22,9,0,0
4862.321090951999,0,0,0,1
1368.3403688798958,8,2,3,0
525.0874859173098,13,3,1,0
7591.339870340399,14,6,2,0
7725.228104431102,23,8,1,1
6468.136798191107,0,4,0,1
2440.387084541099,1,0,2,0
785.888551481039,17,1,3,0
5475.443046964694,17,9,0,0
3524.0191874481125,5,1,0,0
980.6956875840067,19,8,1,1
3963.939396339605,7,9,4,1
279.9362263161711,0,6,1,0
7275.016614619863,14,1,0,0
2073.945952892135,9,0,1,0
5301.865663410086,3,4,4,1
2497.130053334841,9,0,3,0
4162.943829316598,10,8,2,0
4375.948683349521,4,2,0,0
1482.9113719265886,8,1,1,1
7756.829098977646,4,5,0,1
6202.186922772111,10,2,2,0
7516.294037805692,2,4,1,1
7159.144666669053,3,9,3,1
4785.210330594626,9,7,2,0
7375.384509009819,6,9,4,1
712.4975539050964,0,1,4,0
1571.882985041066,5,4,0,0
366.59217483975186,7,7,4,0
2606.0159944522984,16,0,1,0
3112.4749310674088,23,9,4,1
2174.435509032298,6,9,3,1
6630.756385669675,0,3,1,1
2857.2428469152464,8,4,0,0
2251.071404950609,10,9,0,0
4343.855184850197,18,2,4,0
1131.6891786732274,1,1,4,0
6418.564861128547,22,2,0,0
601.0323962197677,10,4,1,0
7895.161058121136,2,6,2,1
6179.096930526776,16,1,0,0
1593.7318738657084,9,6,3,0
49.14932640320118,2,5,1,0
6524.614120496399,21,6,2,0
5656.324464061699,2,6,2,0
5833.412308487694,20,8,1,0
6171.306421754136,6,6,0,1
596.9869906140524,1,5,2,1
2870.9334997114597,0,9,3,1
931.3731309034121,6,7,1,0
6905.51188987537,19,6,4,0
4988.268523986326,10,5,0,0
2650.5297086969304,22,3,1,0
513.149010536759,5,6,3,0
2491.3036621167194,22,7,2,0
2604.8406596038426,3,7,0,0
5838.201395812822,18,3,0,0
5102.271983484929,20,9,1,0
7098.265876897731,18,8,1,0
3780.3583266697847,13,2,3,0
961.1559962767221,2,8,4,1
5707.3920738478455,3,2,1,1
6087.476463692095,7,6,1,0
4492.4111945681225,17,3,1,0
6168.882603736715,3,4,3,1
3952.895792933304,10,2,2,0
4184.248970909042,15,1,4,0
3423.190441776604,2,7,3,0
208.22591831904103,6,6,1,0
867.5919588114691,1,6,2,0
256.27633956544037,0,7,1,0
5093.101238053924,0,0,3,1
2518.276068705232,5,7,0,0
4071.0226758617987,18,9,1,0
7260.993959039114,6,4,2,0
1998.0913720452552,23,7,4,0
3286.0114696698597,4,8,0,0
6045.631352651674,20,1,1,0
1834.2413331055216,17,2,1,0
620.4543790811999,23,5,2,0
2321.5628660455754,12,8,0,0
1293.9641915957654,0,9,0,0
7437.932730478871,9,9,0,0
6465.922434617513,8,7,1,0
5069.063033300836,16,5,0,0
6972.3274185508035,0,4,1,1
6430.3582548084205,0,2,1,1
1496.6276207938565,6,3,0,0
7141.009192927372,3,6,3,1
4317.041224115627,22,6,4,0
6460.48404053668,20,2,4,0
7169.249942888328,11,3,3,0
2547.4377824000517,15,2,0,0
884.8651365987757,13,1,1,0
1827.3416245228238,22,5,2,0
3419.726770066919,9,6,3,0
6545.0280535503325,13,3,4,0
6886.541013134466,6,4,4,0
60.58228359686967,3,7,1,0
4088.424684107638,1,8,4,1
3342.2009701744882,23,6,4,0
1780.7519447134885,17,9,1,0
963.323611832794,15,0,0,0
2704.2332953720056,8,2,4,0
7543.563082780591,4,4,0,1
2589.007441505938,8,2,2,0
4152.731020838212,7,0,0,0
5625.636576366947,23,1,1,1
2912.2186710224555,19,7,1,0
7774.39775135408,15,6,1,0
7699.766123062179,19,9,4,1
2017.9994551237864,17,2,3,0
3980.5018046096216,3,3,4,0
2410.5220869850737,15,2,0,0
2282.2997525478536,3,3,2,0
299.9111440994897,5,7,2,0
4878.466850169275,2,8,2,1
4023.9187907147475,17,6,2,0
416.57261624366487,14,8,3,0
2232.778481571708,7,8,2,0
7266.585758303397,17,6,4,0
1920.2973158824445,23,6,2,0
1163.4345023693286,22,7,1,0
3918.1748184191165,2,9,0,0
7885.275380614253,5,2,4,0
1940.2318957344457,21,7,3,0
5378.723701509999,20,0,4,0
6094.148824553097,23,5,1,1
1904.9121642192354,14,1,2,0
5827.0897071518175,11,6,2,0
2945.4261460904295,4,2,3,0
5060.285115595668,6,9,0,0
5070.070037533354,21,4,2,0
4288.518599177694,14,9,3,1
726.8667115849944,6,1,2,0
6683.243452235957,12,0,4,0
2569.636619449028,2,4,3,0
1496.2154906468345,22,8,3,1
330.9972567303375,12,8,3,0
4729.189080789994,2,6,2,1
5422.127072929048,1,8,3,1
137.61969227820993,22,3,4,0
4099.184001102752,3,2,0,0
1815.833722707514,16,3,0,0
5163.156459323552,5,6,1,0
1399.0595998949066,10,7,4,0
5529.0472161292155,5,1,4,0
3096.9490936727966,21,4,3,0
7494.156259950192,1,4,1,1
1104.479948447216,16,8,4,1
2731.8254766468167,2,2,4,0
912.2208023185096,11,5,4,0
7397.925478137109,13,9,2,0
7019.328130280943,1,4,4,1
2067.243313582669,21,1,2,0
5281.572448043262,21,1,4,0
6538.69149060872,4,3,0,1
4443.830488737702,9,3,2,0
4239.556373956272,9,6,2,0
1938.609065749111,20,0,3,0
749.3566286081642,8,5,4,0
7178.239984836848,20,8,1,0
7203.842367020827,12,1,1,0
5066.646150899777,9,4,1,0
2715.5431794343617,5,9,1,0
2796.9305490282236,10,9,0,0
5809.015652567564,3,3,1,1
7177.396528320854,13,3,3,0
7097.255961999613,16,7,1,0
6240.1049891317025,19,5,3,0
5138.04301100353,1,6,2,1
677.6990201354154,9,8,4,1
1297.2215691864371,2,2,1,0
7188.940737273999,6,1,3,0
4853.4003319784215,6,2,3,0
78.53042767495404,0,7,4,0
816.2649852139267,7,8,2,0
